Symbol,Date,Open,High,Low,Close,Adj Close,Volume
GME,9/25/2023,17,17.719999,16.85,17.67,17.67,2181200
GME,9/26/2023,17.379999,17.82,16.780001,16.780001,16.780001,2726800
GME,9/27/2023,16.870001,17.26,16.809999,17.15,17.15,1681300
GME,9/28/2023,18.02,18.1,16.440001,16.84,16.84,7431900
GME,9/29/2023,17.049999,17.26,16.4,16.459999,16.459999,3388600
GME,10/2/2023,16.299999,16.309999,15.26,15.39,15.39,6087700
GME,10/3/2023,15.29,15.29,14.57,14.6,14.6,4510300
GME,10/4/2023,14.77,14.94,14.44,14.87,14.87,2586400
GME,10/5/2023,14.7,14.98,14.58,14.71,14.71,1945100
GME,10/6/2023,14.59,15.26,14.58,15.08,15.08,2458300
GME,10/9/2023,14.77,15.5,14.72,15.4,15.4,2276300
GME,10/10/2023,15.5,16.190001,15.4,16,16,2915900
GME,10/11/2023,16.01,16.09,15.74,15.82,15.82,2098200
GME,10/12/2023,15.77,15.8,14.82,15.09,15.09,3180300
GME,10/13/2023,14.92,15.11,14.78,14.92,14.92,1823300
GME,10/16/2023,14.81,14.93,14.15,14.43,14.43,3508600
GME,10/17/2023,14.25,14.83,14.1,14.12,14.12,3842400
GME,10/18/2023,14,14.25,13.81,13.85,13.85,4045800
GME,10/19/2023,13.8,13.85,12.9,13.16,13.16,5808000
GME,10/20/2023,13.18,13.8,13.12,13.44,13.44,3657600
GME,10/23/2023,13.28,13.59,13.04,13.44,13.44,2785500
GME,10/24/2023,13.59,14.3,13.55,14.04,14.04,3738300
GME,10/25/2023,14.01,14.01,13.61,13.71,13.71,1967300
GME,10/26/2023,13.73,13.8,13.41,13.5,13.5,2036400
GME,10/27/2023,13.51,13.62,13.02,13.12,13.12,2481700
GME,10/30/2023,13.15,13.27,12.59,12.8,12.8,3475900
GME,10/31/2023,12.85,13.9,12.82,13.77,13.77,4574600
GME,11/1/2023,13.78,13.8,13.01,13.01,13.01,3430100
GME,11/2/2023,13.37,13.7,13.28,13.64,13.64,3566600
GME,11/3/2023,13.9,14.4,13.83,13.87,13.87,2963100
GME,11/6/2023,13.99,14.05,13.49,13.53,13.53,2164400
GME,11/7/2023,13.47,13.79,13.23,13.64,13.64,2354400
GME,11/8/2023,13.51,13.76,13.28,13.28,13.28,1705600
GME,11/9/2023,13.25,13.32,12.7,12.7,12.7,2750100
GME,11/10/2023,12.81,12.97,12.35,12.54,12.54,3872400
GME,11/13/2023,12.5,12.53,11.83,12.14,12.14,4318500
GME,11/14/2023,12.75,13.39,12.69,12.9,12.9,5187500
