Symbol,Date,Open,High,Low,Close,Volume
MEBL,7/17/2023,112.9,113.49,109.9,110.65,1298464
MEBL,7/18/2023,111.47,114.75,110.15,112.72,2743513
MEBL,7/19/2023,112.5,113.99,111.9,113.21,1254336
MEBL,7/20/2023,113.5,114.48,113.06,113.81,897458
MEBL,7/21/2023,114,119.5,114,118.34,4292178
MEBL,7/24/2023,118.25,121.6,117.11,120.67,1814363
MEBL,7/25/2023,120.67,123.6,119.06,121.17,2269346
MEBL,7/26/2023,122,123.89,120.2,123.25,2359953
MEBL,7/27/2023,123.2,126.5,123,124.97,6026969
MEBL,7/31/2023,125.55,132.5,125.55,131.87,5554674
MEBL,8/1/2023,132.1,132.99,129.25,131.3,1767806
MEBL,8/2/2023,131.05,134.9,130,132.31,2698878
MEBL,8/3/2023,131,132.7,127,128.1,2406114
MEBL,8/4/2023,127.99,130.44,124.05,129.5,2278521
MEBL,8/7/2023,129,137.14,128.5,134.23,4242459
MEBL,8/8/2023,133.81,137.05,132.01,132.53,1837016
MEBL,8/9/2023,132.1,134.99,131.15,133.91,1899207
MEBL,8/10/2023,134.25,136.5,128.01,130.71,3988784
MEBL,8/11/2023,130,137.48,129.11,132.37,5907832
MEBL,8/15/2023,133.99,133.99,130.55,132.48,765778
MEBL,8/16/2023,132.35,133.4,131.44,132.17,1072360
MEBL,8/17/2023,131.5,132.5,128.5,130.92,2000034
MEBL,8/18/2023,131,131.5,129.85,130.03,530774
MEBL,8/21/2023,129.05,130,127.91,128.75,1184294
MEBL,8/22/2023,125.98,125.98,122.5,124.03,674116
MEBL,8/23/2023,124.39,125,122.11,124.08,2035400
MEBL,8/24/2023,125,129,123.1,126.07,2260232
MEBL,8/25/2023,125.65,127.4,124.5,126.95,1914720
MEBL,8/28/2023,126.02,126.8,125,125.69,1491287
MEBL,8/29/2023,126,126,124.25,124.54,292897
MEBL,8/30/2023,123.81,124.97,121,122.43,652749
MEBL,8/31/2023,122.4,122.4,115,116.98,7393117
MEBL,9/1/2023,117.3,117.3,115,115.79,1117695
MEBL,9/4/2023,116.99,118,115.56,116.13,792829
MEBL,9/5/2023,117.58,117.7,115.3,115.64,477143
MEBL,9/6/2023,115.51,116.75,115.25,115.87,1516556
MEBL,9/7/2023,117.1,118.94,116.01,117,1268122
MEBL,9/8/2023,118.97,120.4,117,119.87,2190543
MEBL,9/11/2023,120.2,122,118.55,120.08,2166855
MEBL,9/12/2023,120.7,120.7,118.82,119.02,526122
MEBL,9/13/2023,119.06,119.81,119,119.49,101505
MEBL,9/14/2023,119.85,120.94,118.95,119.07,186316
MEBL,9/15/2023,119.2,120,116.3,117.19,2273577
MEBL,9/18/2023,117.22,117.5,116.1,116.38,181429
MEBL,9/19/2023,116.79,117.5,116.11,116.94,578530
MEBL,9/20/2023,116.5,117.49,115.96,116.37,424669
MEBL,9/21/2023,116.35,117.67,115,116.98,1028936
MEBL,9/22/2023,117,117.48,115.81,117.04,1227791
MEBL,9/25/2023,117.05,118.22,116.49,117.01,546928
MEBL,9/26/2023,117.01,117.59,115.8,115.92,503450
MEBL,9/27/2023,116,116.95,114.5,115.83,1556672
MEBL,9/28/2023,116,116.25,114.3,114.61,918373
MEBL,10/2/2023,114.99,117.9,114.55,116.63,942555
MEBL,10/3/2023,117,117.93,116.49,117.29,446477
MEBL,10/4/2023,117.89,120.1,117.5,119.39,2209795
MEBL,10/5/2023,119.39,121,119.39,120.15,1175497
MEBL,10/6/2023,120.95,122,120.52,120.92,758946
MEBL,10/9/2023,120,121.8,119,121.24,461753
MEBL,10/10/2023,121.5,126,121.15,124.78,1695875
MEBL,10/11/2023,125.1,126.45,124.25,125.49,712220
MEBL,10/12/2023,126,126.24,123.5,124.64,496916
MEBL,10/13/2023,124.31,128.85,123.75,128.39,1951060
MEBL,10/16/2023,127.99,128.85,126.5,127.42,671870
MEBL,10/17/2023,129,131.49,128,128.32,1551332
MEBL,10/18/2023,128.5,129.91,127.7,129.68,1077660
MEBL,10/19/2023,129.75,134,129.7,132.65,4569550
MEBL,10/20/2023,133,133.99,132.26,132.95,1309901
MEBL,10/23/2023,133.5,135,132.9,133.58,1675210
MEBL,10/24/2023,134.8,134.8,132.5,133.34,700292
MEBL,10/25/2023,133.05,135.6,133,133.61,1510789
MEBL,10/26/2023,133.6,137.85,133.5,136,1277251
MEBL,10/27/2023,134.61,138.8,134.61,137.57,1387699
MEBL,10/30/2023,133.9,136.65,133.49,135.83,937360
MEBL,10/31/2023,137,140,135.9,137.43,1512563
MEBL,11/1/2023,138,139,136.5,137.01,1135954
MEBL,11/2/2023,137.11,138.49,134.65,135.15,797885
MEBL,11/3/2023,136.9,143.4,135.1,141.6,5199507
MEBL,11/6/2023,142.02,143.78,139.38,141.84,1179922
MEBL,11/7/2023,141,144.55,141,142.7,2203138
MEBL,11/8/2023,142.7,146.47,142.5,145.7,9764905
MEBL,11/10/2023,145.8,153.2,145.7,149.62,3590067
MEBL,11/13/2023,150,150.97,146.3,147.79,1336903
MEBL,11/14/2023,147.98,147.98,144.2,145.58,1613067
MEBL,11/15/2023,145.58,146,142.97,145.62,3545898
MEBL,11/16/2023,145,146.45,144,145.61,2234847
MEBL,11/17/2023,145.85,146.46,143.75,144.29,873703
MEBL,11/20/2023,145.94,147.47,143.01,145.99,1308109
MEBL,11/21/2023,146,148.99,146,146.71,1297930
MEBL,11/22/2023,147.5,154.3,147,153.29,2730894
MEBL,11/23/2023,153,163,152.5,162.03,3188282
MEBL,11/24/2023,162.5,166,160.01,160.58,1908471
MEBL,11/27/2023,158.49,161.5,149.5,158.05,8995965
MEBL,11/28/2023,158.17,160.98,156.03,159.11,4241449
MEBL,11/29/2023,159.51,161.8,156.5,156.53,5217781
MEBL,11/30/2023,159.8,161,152.5,154.84,2247161
MEBL,12/1/2023,155.25,156,153.5,155.13,1175094
MEBL,12/4/2023,153,156.3,153,155.35,978128
MEBL,12/5/2023,155.9,161.51,155.9,160.12,3005900
MEBL,12/6/2023,160.12,167.3,159.81,166.62,5155029
MEBL,12/7/2023,166.9,174.75,164.99,173.97,3257556
MEBL,12/8/2023,174,178.98,173,175.04,3868344
MEBL,12/11/2023,173.1,175.89,166,169.73,1494980
MEBL,12/12/2023,170.2,170.95,169.1,169.76,624253
MEBL,12/13/2023,171,173,157.27,164.71,1253621
MEBL,12/14/2023,164.71,166.5,160.02,160.77,1208938
MEBL,12/15/2023,162,162.45,157,158.91,2595594
MEBL,12/18/2023,160,162.4,153,154.63,1279721
MEBL,12/19/2023,154,158.5,151.66,155.27,2375339
MEBL,12/20/2023,157.84,157.88,150.1,152.67,1278692
MEBL,12/21/2023,153.2,153.49,149,152.32,727262
MEBL,12/22/2023,153.5,153.5,150.5,150.85,342332
MEBL,12/26/2023,150.85,150.85,146,148.56,992469
MEBL,12/27/2023,149.98,159,146.15,157.97,1173850
MEBL,12/28/2023,158.99,166,158.99,162.04,2399892
MEBL,12/29/2023,162,163.66,160,161.36,694657
MEBL,1/1/2024,162,166.3,161.36,164.34,603653
MEBL,1/2/2024,165.98,168.99,164,166.11,1194684
MEBL,1/3/2024,167,167.93,162.97,163.88,936862
MEBL,1/4/2024,164,165,161.77,163.2,249269
MEBL,1/5/2024,163.99,164.49,162,162.83,520864
MEBL,1/8/2024,164.5,164.5,162,162.73,174594
MEBL,1/9/2024,162.4,163.5,159.76,161.34,214549
MEBL,1/10/2024,161.2,162.4,156.01,157.72,779204
MEBL,1/11/2024,158.71,162.5,157,159.23,1362772
MEBL,1/12/2024,161,163.9,158.56,160.9,1352892
MEBL,1/15/2024,162,164,160.5,161.26,597573
MEBL,1/16/2024,161,162,160,160.09,397173
MEBL,1/17/2024,161.5,164.61,160,164.39,2778728
MEBL,1/18/2024,164.44,164.9,162.01,164.22,5414426
MEBL,1/19/2024,164.99,167,164.49,164.86,909282
MEBL,1/22/2024,165.5,165.83,164.11,164.92,1837901
MEBL,1/23/2024,166.98,169.5,164.9,168.28,2064458
MEBL,1/24/2024,168.71,170.6,167.75,169.73,1107720
MEBL,1/25/2024,170,174.47,170,172.92,8505529
MEBL,1/26/2024,172.06,173.99,170,170.35,861328
MEBL,1/29/2024,168.53,169.97,165.8,166.39,435690
MEBL,1/30/2024,166.7,168,160,160.6,461285
MEBL,1/31/2024,161.4,165.99,160.01,161.12,977142
MEBL,2/1/2024,162.8,167.5,162.01,165.55,1005572
MEBL,2/2/2024,166.99,168.5,165,167.84,897500
MEBL,2/6/2024,169,170.01,167.95,168.54,1884705
MEBL,2/7/2024,169.99,172.44,169.75,170.58,846847
MEBL,2/9/2024,165.06,170,161,167.92,1148046
MEBL,2/12/2024,167.5,169.99,163.5,166.9,2231336
MEBL,2/13/2024,165.5,170.5,162.02,169.6,2491967
MEBL,2/14/2024,170.1,171.5,168.5,168.92,603754
MEBL,2/15/2024,169.98,175.01,166.51,169.23,5071966
MEBL,2/16/2024,170,171,166.5,167.73,1081197
MEBL,2/19/2024,166.99,168.75,165,167.71,713794
MEBL,2/20/2024,166.12,168.9,165.1,165.61,425981
MEBL,2/21/2024,168.5,169.4,166.9,168.94,935668
MEBL,2/22/2024,168.01,176.45,168.01,175.4,1880159
MEBL,2/23/2024,175.75,182.9,175.75,181.96,2582739
MEBL,2/26/2024,183,187.98,182.01,184.44,1982115
MEBL,2/27/2024,184,185.4,182.05,184.23,1767204
MEBL,2/28/2024,184.96,186.2,183.5,184.12,3097288
MEBL,2/29/2024,184.81,189.9,184.25,187.89,1627314
MEBL,3/1/2024,189.99,197,187,195.21,2838550
MEBL,3/4/2024,196,198.2,191.55,193.41,643877
MEBL,3/5/2024,193,195.89,192,192.73,316293
MEBL,3/6/2024,193.96,194.5,191.5,192.45,472381
MEBL,3/7/2024,194.5,194.5,189,190.54,806139
MEBL,3/8/2024,191,191.2,188.05,188.46,326384
MEBL,3/11/2024,188,188,185.46,186.97,331290
MEBL,3/12/2024,186.97,187.95,186.21,187.04,679259
MEBL,3/13/2024,186.5,187.5,185.99,186.49,1482780
MEBL,3/14/2024,186.5,191.8,186.5,190.5,1429431
MEBL,3/15/2024,191.5,194.5,189.75,192.89,987738
MEBL,3/18/2024,193,198,193,196.36,1546946
MEBL,3/19/2024,197.99,204.7,197,201.3,4094341
MEBL,3/20/2024,202,203.98,201,203.2,1795871
MEBL,3/21/2024,195,199.7,195,196.45,2375031
MEBL,3/22/2024,196.25,198.5,195.5,197.26,1295025
MEBL,3/25/2024,198.4,200.5,197.3,199.76,1380684
MEBL,3/26/2024,200.9,209.2,200,206.99,3646215
MEBL,3/27/2024,208.11,211.89,208.11,210.27,2375850
MEBL,3/28/2024,211,212.9,210.5,211.2,4787576
MEBL,3/29/2024,211.49,214.89,211.01,213.62,1764939
MEBL,4/1/2024,214.75,217.8,214.02,214.94,1033148
MEBL,4/2/2024,214.98,217,214.98,215.77,1763596
MEBL,4/3/2024,216.77,216.95,210.02,212.54,1020085
MEBL,4/4/2024,212.54,218.3,211,217.52,1468620
MEBL,4/8/2024,218,225.59,216,224.21,1856452
MEBL,4/9/2024,226,238,225.6,229.82,2593637
MEBL,4/15/2024,229.01,233,228.13,228.96,4388357
MEBL,4/16/2024,227.05,231,227.05,228.15,931991
MEBL,4/17/2024,227.01,230,225,229.59,1623482
MEBL,4/18/2024,230,232,216.5,219,5230338
MEBL,4/19/2024,221,229.2,217.3,222.68,2123553
